date,qLV,qMO,qQuality,qSentiment,qValue
2016-03-31,,,,,
2016-04-30,,,,,
2016-05-31,,,,,
2016-06-30,,,,,
2016-07-31,,,,,
2016-08-31,,,,,
2016-09-30,,,,,
2016-10-31,,,,,
2016-11-30,,,,,
2016-12-31,,,,,
2017-01-31,,,,,
2017-02-28,,,1.0,,
2017-03-31,4.0,2.0,1.0,3.0,5.0
2017-04-30,5.0,2.0,1.0,3.0,4.0
2017-05-31,5.0,2.0,1.0,3.0,4.0
2017-06-30,5.0,2.5,1.0,4.0,2.5
2017-07-31,5.0,2.0,1.0,4.0,3.0
2017-08-31,5.0,2.0,1.0,3.0,4.0
2017-09-30,5.0,2.0,1.0,3.0,4.0
2017-10-31,5.0,2.0,1.0,3.0,4.0
2017-11-30,5.0,2.5,1.0,4.0,2.5
2017-12-31,5.0,2.0,1.0,4.0,3.0
2018-01-31,5.0,1.5,1.5,3.0,4.0
2018-02-28,5.0,1.5,1.5,3.0,4.0
2018-03-31,5.0,1.0,2.0,3.0,4.0
2018-04-30,5.0,1.0,2.0,3.0,4.0
2018-05-31,5.0,1.0,2.0,3.0,4.0
2018-06-30,4.0,2.0,1.0,3.0,5.0
2018-07-31,5.0,1.0,2.0,3.0,4.0
2018-08-31,5.0,1.0,2.0,3.0,4.0
2018-09-30,1.0,2.0,3.5,3.5,5.0
2018-10-31,1.0,2.5,4.0,5.0,2.5
2018-11-30,1.0,2.0,3.5,5.0,3.5
2018-12-31,1.5,4.5,1.5,4.5,3.0
2019-01-31,2.0,4.0,1.0,5.0,3.0
2019-02-28,2.5,4.0,1.0,5.0,2.5
2019-03-31,3.5,3.5,1.0,5.0,2.0
2019-04-30,2.0,3.0,1.0,5.0,4.0
2019-05-31,2.5,4.0,1.0,5.0,2.5
2019-06-30,4.0,2.0,1.0,5.0,3.0
2019-07-31,3.0,2.0,1.0,5.0,4.0
2019-08-31,4.0,2.0,1.0,5.0,3.0
2019-09-30,4.5,2.5,1.0,2.5,4.5
2019-10-31,4.0,2.0,1.0,3.0,5.0
2019-11-30,3.0,2.0,1.0,4.5,4.5
2019-12-31,3.0,2.0,1.0,4.0,5.0
2020-01-31,3.0,1.0,2.0,4.0,5.0
2020-02-29,3.0,2.0,1.0,4.0,5.0
2020-03-31,3.0,2.0,1.0,4.0,5.0
2020-04-30,3.0,2.0,1.0,4.0,5.0
2020-05-31,3.0,2.0,1.0,4.0,5.0
2020-06-30,3.0,1.0,2.0,4.0,5.0
2020-07-31,3.0,1.0,2.0,5.0,4.0
2020-08-31,3.0,1.0,2.0,5.0,4.0
2020-09-30,3.0,1.0,2.0,4.0,5.0
2020-10-31,3.0,1.0,2.0,4.0,5.0
2020-11-30,3.5,1.0,2.0,3.5,5.0
2020-12-31,3.5,1.0,2.0,3.5,5.0
2021-01-31,5.0,2.0,1.0,3.0,4.0
2021-02-28,3.0,5.0,2.0,1.0,4.0
2021-03-31,3.5,5.0,2.0,1.0,3.5
2021-04-30,4.0,5.0,2.5,1.0,2.5
